slang,formal
aqwhuwh lagi pengen belajar membuat podcast yang menarik nihhh,aku lagi ingin belajar membuat siniar (podcast) yang menarik nih
kmw selalu bikin aqwhuwh istimewa bangetttt,kamu selalu membuat aku istimewa sekali
akuh tujuan akhir dari pencarianmuuuuuuu,aku tujuan akhir dari pencarianmu
diaaa tuhh adil bangetttt dalam memperlakukan semua orang tanpa terkecuali,dia tuh adil sekali dalam memperlakukan semua orang tanpa terkecuali
jangan lupaaa saling percaya dan saling terbuka satu sama lain yachhh,jangan lupa saling percaya dan saling terbuka satu sama lain ya
aqwhuwh lagi pengen bikin aplikasi sederhana nihhh,aku lagi ingin membuat aplikasi sederhana nih
kmw selalu bikin aqwhuwh bersyukur bangetttt,kamu selalu membuat aku bersyukur sekali
akuh tempat berlindung ternyaman bagimuuuuuu,aku tempat berlindung ternyaman bagimu
diaaa tuhh rendah hati bangetttt tidak pernah menyombongkan diri,dia tuh rendah hati sekali tidak pernah menyombongkan diri
jangan lupaaa saling mendukung satu sama lain dalam segala hal yachhh,jangan lupa saling mendukung satu sama lain dalam segala hal ya
aqwhuwh lagi pengen belajar membuat game sederhana nihhh,aku lagi ingin belajar membuat permainan (game) sederhana nih
kmw selalu bikin aqwhuwh semangat bangetttt,kamu selalu membuat aku semangat sekali
akuh jawaban dari setiap keraguanmuuuuuuu,aku jawaban dari setiap keraguanmu
diaaa tuhh pemaaf bangetttt dan mudah melupakan kesalahan orang lain,dia tuh pemaaf sekali dan mudah melupakan kesalahan orang lain
jangan lupaaa saling memberi semangat dalam meraih cita-cita yachhh,jangan lupa saling memberi semangat dalam meraih cita-cita ya
aqwhuwh lagi pengen belajar membuat robot sederhana nihhh,aku lagi ingin belajar membuat robot sederhana nih
kmw selalu bikin aqwhuwh kuat bangetttt,kamu selalu membuat aku kuat sekali
akuh pelengkap dalam setiap kekuranganmuuuuuu,aku pelengkap dalam setiap kekuranganmu
diaaa tuhh penolong bangetttt dan selalu ikhlas dalam membantu,dia tuh penolong sekali dan selalu ikhlas dalam membantu
jangan lupaaa saling menghargai privasi masing-masing yachhh,jangan lupa saling menghargai privasi masing-masing ya
aqwhuwh lagi pengen belajar bahasa asing yang baru nihhh,aku lagi ingin belajar bahasa asing yang baru nih
kmw selalu bikin aqwhuwh berarti bangetttt,kamu selalu membuat aku berarti sekali
akuh alasan kamu tersenyum di setiap waktuuuuu,aku alasan kamu tersenyum di setiap waktu
diaaa tuhh menghargai bangetttt setiap proses pembelajaran,dia tuh menghargai sekali setiap proses pembelajaran
jangan lupaaa saling menjaga kepercayaan dan kejujuran dalam hubungan yachhh,jangan lupa saling menjaga kepercayaan dan kejujuran dalam hubungan ya
aqwhuwh lagi pengen bikin film dokumenter nihhh,aku lagi ingin membuat film dokumenter nih
kmw selalu bikin aqwhuwh lengkap bangetttt,kamu selalu membuat aku lengkap sekali
akuh sandaran ternyaman di kala sedihmuuuuuu,aku sandaran ternyaman di kala sedihmu
diaaa tuhh tulus bangetttt tanpa ada niat tersembunyi,dia tuh tulus sekali tanpa ada niat tersembunyi
jangan lupaaa saling menjaga komunikasi yang terbuka yachhh,jangan lupa saling menjaga komunikasi yang terbuka ya
aqwhuwh lagi pengen belajar editing foto yang profesional nihhh,aku lagi ingin belajar menyunting foto yang profesional nih
kmw selalu bikin aqwhuwh istimewa bangetttt,kamu selalu membuat aku istimewa sekali
akuh rumah ternyaman untuk berbagi keluh kesahmuuuuuuu,aku rumah ternyaman untuk berbagi keluh kesahmu
diaaa tuhh adil bangetttt dalam memberikan kesempatan kepada semua orang,dia tuh adil sekali dalam memberikan kesempatan kepada semua orang
jangan lupaaa saling mendukung impian dan cita-cita setinggi mungkin yachhh,jangan lupa saling mendukung impian dan cita-cita setinggi mungkin ya
aqwhuwh lagi pengen bikin lagu yang menyentuh hati nihhh,aku lagi ingin membuat lagu yang menyentuh hati nih
kmw selalu bikin aqwhuwh bersyukur bangetttt,kamu selalu membuat aku bersyukur sekali
akuh pelita yang selalu menerangi jalanmuuuuuuu,aku pelita yang selalu menerangi jalanmu
diaaa tuhh rendah hati bangetttt dan selalu menghargai orang lain,dia tuh rendah hati sekali dan selalu menghargai orang lain
jangan lupaaa saling mengerti kelebihan dan kekurangan masing-masing yachhh,jangan lupa saling mengerti kelebihan dan kekurangan masing-masing ya
aqwhuwh lagi pengen belajar public speaking dengan percaya diri nihhh,aku lagi ingin belajar berbicara di depan umum dengan percaya diri nih
kmw selalu bikin aqwhuwh semangat bangetttt,kamu selalu membuat aku semangat sekali
akuh tempat berbagi kebahagiaan dan kesedihanmuuuuuuu,aku tempat berbagi kebahagiaan dan kesedihanmu
diaaa tuhh pemaaf bangetttt dan tidak pernah mengungkit kesalahan lama,dia tuh pemaaf sekali dan tidak pernah mengungkit kesalahan lama
jangan lupaaa saling memberi dukungan moral di saat sulit yachhh,jangan lupa saling memberi dukungan moral di saat sulit ya
aqwhuwh lagi pengen belajar membuat website yang interaktif nihhh,aku lagi ingin belajar membuat situs web yang interaktif nih
kmw selalu bikin aqwhuwh kuat bangetttt,kamu selalu membuat aku kuat sekali
akuh alasan kamu untuk terus majuuuuuuuu,aku alasan kamu untuk terus maju
diaaa tuhh penolong bangetttt dan selalu siap membantu tanpa diminta,dia tuh penolong sekali dan selalu siap membantu tanpa diminta
jangan lupaaa saling menghargai pendapat yang berbeda dengan bijak yachhh,jangan lupa saling menghargai pendapat yang berbeda dengan bijak ya
aqwhuwh lagi pengen belajar menggambar ilustrasi nihhh,aku lagi ingin belajar menggambar ilustrasi nih
kmw selalu bikin aqwhuwh berarti bangetttt,kamu selalu membuat aku berarti sekali
akuh tempat kamu kembali setelah lelah beraktivitasuuuuu,aku tempat kamu kembali setelah lelah beraktivitas
diaaa tuhh menghargai bangetttt setiap usaha dan kerja keras,dia tuh menghargai sekali setiap usaha dan kerja keras
jangan lupaaa saling menghargai waktu dan privasi masing-masing yachhh,jangan lupa saling menghargai waktu dan privasi masing-masing ya
aqwhuwh lagi pengen bikin animasi 3D yang keren nihhh,aku lagi ingin membuat animasi 3D yang keren nih
kmw selalu bikin aqwhuwh lengkap bangetttt,kamu selalu membuat aku lengkap sekali
akuh penawar segala kerinduanmuuuuuuu,aku penawar segala kerinduanmu
diaaa tuhh tulus bangetttt dan tidak pernah mengharapkan balasan jasa,dia tuh tulus sekali dan tidak pernah mengharapkan balasan jasa
jangan lupaaa saling menjaga hati dan perasaan agar tidak terluka yachhh,jangan lupa saling menjaga hati dan perasaan agar tidak terluka ya
aqwhuwh lagi pengen belajar membuat podcast yang informatif nihhh,aku lagi ingin belajar membuat siniar (podcast) yang informatif nih
kmw selalu bikin aqwhuwh istimewa bangetttt,kamu selalu membuat aku istimewa sekali
akuh tujuan hidup yang selalu kamu tujuuuuuuu,aku tujuan hidup yang selalu kamu tuju
diaaa tuhh adil bangetttt dalam memberikan penilaian tanpa adanya diskriminasi,dia tuh adil sekali dalam memberikan penilaian tanpa adanya diskriminasi
jangan lupaaa saling percaya dan saling terbuka dalam segala situasi yachhh,jangan lupa saling percaya dan saling terbuka dalam segala situasi ya
aqwhuwh lagi pengen bikin aplikasi mobile yang bermanfaat nihhh,aku lagi ingin membuat aplikasi seluler yang bermanfaat nih
kmw selalu bikin aqwhuwh bersyukur bangetttt,kamu selalu membuat aku bersyukur sekali
akuh tempat berlindung ternyaman dari segala masalahmuuuuuuu,aku tempat berlindung ternyaman dari segala masalahmu
diaaa tuhh rendah hati bangetttt dan tidak pernah merasa lebih baik dari orang lain,dia tuh rendah hati sekali dan tidak pernah merasa lebih baik dari orang lain
jangan lupaaa saling mendukung satu sama lain dalam meraih impian yachhh,jangan lupa saling mendukung satu sama lain dalam meraih impian ya
aqwhuwh lagi pengen belajar membuat game online yang seru nihhh,aku lagi ingin belajar membuat permainan daring yang seru nih
kmw selalu bikin aqwhuwh semangat bangetttt,kamu selalu membuat aku semangat sekali
akuh jawaban dari segala pertanyaan hatimuuuuuu,aku jawaban dari segala pertanyaan hatimu
diaaa tuhh pemaaf bangetttt dan selalu memberikan kesempatan kedua,dia tuh pemaaf sekali dan selalu memberikan kesempatan kedua
jangan lupaaa saling memberi semangat di kala jatuh yachhh,jangan lupa saling memberi semangat di kala jatuh ya
aqwhuwh lagi pengen belajar membuat robot yang canggih nihhh,aku lagi ingin belajar membuat robot yang canggih nih
kmw selalu bikin aqwhuwh kuat bangetttt,kamu selalu membuat aku kuat sekali
akuh pelengkap dalam setiap kelemahanmuuuuuu,aku pelengkap dalam setiap kelemahanmu
diaaa tuhh penolong bangetttt dan selalu ringan tangan untuk membantu,dia tuh penolong sekali dan selalu ringan tangan untuk membantu
jangan lupaaa saling menghargai privasi dan batasan masing-masing yachhh,jangan lupa saling menghargai privasi dan batasan masing-masing ya
aqwhuwh lagi pengen belajar bahasa asing yang unik nihhh,aku lagi ingin belajar bahasa asing yang unik nih
kmw selalu bikin aqwhuwh berarti bangetttt,kamu selalu membuat aku berarti sekali
akuh alasan kamu tersenyum di setiap detiiiiik,aku alasan kamu tersenyum di setiap detik
diaaa tuhh menghargai bangetttt setiap usaha dan pengorbanan,dia tuh menghargai sekali setiap usaha dan pengorbanan
jangan lupaaa saling menjaga kepercayaan dan kejujuran sebagai fondasi yachhh,jangan lupa saling menjaga kepercayaan dan kejujuran sebagai fondasi ya
aqwhuwh lagi pengen bikin film animasi yang menarik nihhh,aku lagi ingin membuat film animasi yang menarik nih
kmw selalu bikin aqwhuwh lengkap bangetttt,kamu selalu membuat aku lengkap sekali
akuh sandaran ternyaman di setiap suka dan dukamuuuuuu,aku sandaran ternyaman di setiap suka dan dukamu
diaaa tuhh tulus bangetttt dan tidak pernah mengharapkan imbalan materi,dia tuh tulus sekali dan tidak pernah mengharapkan imbalan materi
jangan lupaaa saling menjaga komunikasi yang efektif yachhh,jangan lupa saling menjaga komunikasi yang efektif ya
aqwhuwh lagi pengen belajar editing video yang profesional banget nihhh,aku lagi ingin belajar menyunting video yang profesional sekali nih
kmw selalu bikin aqwhuwh istimewa bangetttt,kamu selalu membuat aku istimewa sekali
akuh rumah ternyaman untuk berbagi segala rahasiamuuuuuu,aku rumah ternyaman untuk berbagi segala rahasiamu
diaaa tuhh adil bangetttt dalam memberikan kesempatan yang sama kepada semua orang,dia tuh adil sekali dalam memberikan kesempatan yang sama kepada semua orang
jangan lupaaa saling mendukung impian dan cita-cita tanpa adanya rasa iri yachhh,jangan lupa saling mendukung impian dan cita-cita tanpa adanya rasa iri ya
aqwhuwh lagi pengen bikin lagu yang bikin semangat nihhh,aku lagi ingin membuat lagu yang membangkitkan semangat nih
kmw selalu bikin aqwhuwh bersyukur bangetttt,kamu selalu membuat aku bersyukur sekali
akuh pelita yang tak pernah padam dalam hatimuuuuuu,aku pelita yang tak pernah padam dalam hatimu
diaaa tuhh rendah hati bangetttt dan selalu belajar dari orang lain,dia tuh rendah hati sekali dan selalu belajar dari orang lain
jangan lupaaa saling mengerti kelebihan dan kekurangan untuk saling melengkapi yachhh,jangan lupa saling mengerti kelebihan dan kekurangan untuk saling melengkapi ya
aqwhuwh lagi pengen belajar public speaking dengan intonasi yang baik nihhh,aku lagi ingin belajar berbicara di depan umum dengan intonasi yang baik nih
kmw selalu bikin aqwhuwh semangat bangetttt,kamu selalu membuat aku semangat sekali
akuh tempat berbagi segala impian dan harapanmuuuuuuu,aku tempat berbagi segala impian dan harapanmu
diaaa tuhh pemaaf bangetttt dan selalu memberikan kesempatan untuk berubah menjadi lebih baik,dia tuh pemaaf sekali dan selalu memberikan kesempatan untuk berubah menjadi lebih baik
jangan lupaaa saling memberi dukungan moral di kala terpuruk yachhh,jangan lupa saling memberi dukungan moral di kala terpuruk ya
Nggak ngeh sama maksud dari tatapannya.,Saya tidak mengerti maksud dari tatapannya.
"Dia lihatin gue terus, tapi gue nggak ngeh sama maksud dari tatapannya itu.","Dia terus melihat ke arah saya, tetapi saya tidak mengerti maksud dari tatapannya tersebut."
Bikin oleng iman kalau lihat makanan enak di depan mata.,Melihat makanan enak di depan mata membuat iman saya goyah.
"Lagi puasa gini, lihat es buah sama gorengan di depan mata bikin oleng iman banget.","Saat sedang berpuasa seperti ini, melihat es buah dan gorengan di depan mata sungguh membuat iman saya goyah."
Nggak ada gunanya memang kalau cuma ngomongin rencana liburan doang.,Memang tidak ada gunanya jika hanya membicarakan rencana liburan saja.
"Udah dari tahun lalu ngomongin rencana liburan, tapi nggak pernah jadi, nggak ada gunanya.","Sudah sejak tahun lalu membicarakan rencana liburan, tetapi tidak pernah terealisasi, memang tidak ada gunanya."
Bikin nyesek lihat orang sakit yang nggak punya keluarga.,Melihat orang sakit yang tidak memiliki keluarga membuat saya merasa sedih.
"Di rumah sakit ada pasien yang nggak pernah dijenguk, bikin nyesek banget lihatnya.","Di rumah sakit ada pasien yang tidak pernah dijenguk oleh siapa pun, melihat orang sakit yang tidak memiliki keluarga membuat saya merasa sangat sedih."
Nggak gitu cara bikin nasi goreng yang lezat.,Cara membuat nasi goreng yang lezat bukan seperti itu.
"Udah coba resep dari internet, tapi kok rasanya beda, kayaknya nggak gitu deh caranya.","Sudah mencoba resep dari internet, tetapi mengapa rasanya berbeda, sepertinya cara membuatnya bukan seperti itu."
Bikin auto semangat kalau dapat kabar lulus ujian.,Mendapatkan kabar lulus ujian otomatis membuat saya bersemangat.
"Pengumuman hasil ujian akhirnya keluar, dan gue lulus! Langsung bikin auto semangat.","Pengumuman hasil ujian akhirnya keluar, dan saya lulus! Hal itu langsung otomatis membuat saya bersemangat."
Nggak worth the waktu buat dengerin lagu yang liriknya nggak jelas.,Tidak sepadan dengan waktu yang dihabiskan untuk mendengarkan lagu yang liriknya tidak jelas.
"Musiknya enak sih, tapi liriknya aneh banget, nggak worth it deh buat didengerin lama-lama.","Musiknya memang enak, tetapi liriknya sangat aneh, tidak sepadan dengan waktu yang dihabiskan untuk mendengarkannya dalam waktu yang lama."
Bikin penasaran banget isi surat dari pengagum rahasia.,Isi surat dari pengagum rahasia itu membuat saya sangat penasaran.
"Tiba-tiba ada surat cinta tanpa nama di meja, bikin penasaran banget siapa yang ngirim.","Tiba-tiba ada surat cinta tanpa nama di meja, isi surat dari pengagum rahasia itu membuat saya sangat penasaran siapa yang mengirimnya."
Nggak nyangka se-sejuk ini air di sungai pegunungan.,Tidak menyangka air di sungai pegunungan akan sesejuk ini.
"Baru celupin kaki aja udah berasa dinginnya, nggak nyangka airnya se-sejuk ini.","Baru mencelupkan kaki saja sudah terasa dinginnya, tidak menyangka airnya akan sesejuk ini."
Bikin adem suasana hati kalau lihat orang berbagi ilmu.,Melihat orang berbagi ilmu membuat suasana hati menjadi tenang.
"Ada dosen yang ngadain kelas tambahan gratis, lihatnya bikin adem hati, mulia banget.","Ada seorang dosen yang mengadakan kelas tambahan gratis, melihatnya membuat hati menjadi tenang, sungguh mulia."
Nggak ngeh sama maksud dari sindiran halusnya.,Saya tidak mengerti maksud dari sindiran halusnya.
"Dia ngomongnya sopan banget, tapi kayak nyindir, cuma gue nggak ngeh maksudnya apa.","Dia berbicara dengan sangat sopan, tetapi sepertinya sedang menyindir, hanya saja saya tidak mengerti maksudnya apa."
Bikin oleng perut kalau makan pedas saat perut kosong.,Makan makanan pedas saat perut kosong membuat perut saya tidak nyaman.
"Udah tahu punya maag, masih aja makan pedas pas perut kosong, langsung bikin oleng perut.","Sudah tahu memiliki sakit maag, masih saja makan makanan pedas saat perut kosong, langsung membuat perut saya tidak nyaman."
Nggak ada gunanya memang kalau cuma ngomongin ide bisnis tanpa modal.,Memang tidak ada gunanya jika hanya membicarakan ide bisnis tanpa adanya modal.
"Banyak ide usaha kreatif, tapi nggak punya modal buat jalanin, sama aja bohong.","Banyak ide usaha kreatif, tetapi tidak memiliki modal untuk menjalankannya, sama saja bohong."
Bikin nyesek lihat anak-anak yang harus bekerja keras membantu keluarga.,Melihat anak-anak yang harus bekerja keras membantu keluarga membuat saya merasa sedih.
"Masih kecil udah harus jualan koran, bikin nyesek banget lihatnya.","Masih kecil sudah harus berjualan koran, melihat anak-anak yang harus bekerja keras membantu keluarga membuat saya merasa sangat sedih."
Nggak gitu cara membuat kue bolu yang lembut.,Cara membuat kue bolu yang lembut bukan seperti itu.
"Udah ikutin resep di internet, tapi hasilnya bantet, kayaknya ada yang salah deh.","Sudah mengikuti resep di internet, tetapi hasilnya keras, sepertinya ada yang salah dalam caranya."
Bikin auto semangat kalau dapat kesempatan memimpin proyek.,Mendapatkan kesempatan memimpin proyek otomatis membuat saya bersemangat.
"Akhirnya dipercaya jadi ketua tim, langsung bikin auto semangat buat tanggung jawab baru.","Akhirnya dipercaya menjadi ketua tim, hal itu langsung otomatis membuat saya bersemangat untuk tanggung jawab baru ini."
Nggak worth the waktu buat nonton video yang isinya cuma pamer.,Tidak sepadan dengan waktu yang dihabiskan untuk menonton video yang isinya hanya pamer.
"Banyak video di sosmed yang cuma nunjukkin kekayaan, nggak ada manfaatnya ditonton.","Banyak video di media sosial yang hanya menunjukkan kekayaan, tidak ada manfaatnya untuk ditonton."
Bikin penasaran banget isi pesan tersembunyi di lagu itu.,Isi pesan tersembunyi di lagu itu membuat saya sangat penasaran.
"Katanya ada makna tersembunyi di lirik lagu ini, bikin penasaran banget maksudnya apa.","Katanya ada makna tersembunyi di lirik lagu ini, isi pesan tersembunyi di lagu itu membuat saya sangat penasaran maksudnya apa."
Nggak nyangka se-sepi ini jalan tol tengah malam.,Tidak menyangka jalan tol akan sesepi ini di tengah malam.
"Biasanya macet, tapi kok tengah malam gini sepi banget, jadi bisa ngebut.","Biasanya macet, tetapi mengapa tengah malam seperti ini sangat sepi, jadi bisa melaju dengan cepat."
Bikin adem suasana hati kalau lihat orang menjaga lingkungan.,Melihat orang menjaga lingkungan membuat suasana hati menjadi tenang.
"Ada komunitas yang rutin bersih-bersih sungai, lihatnya bikin adem hati, peduli banget.","Ada komunitas yang rutin membersihkan sungai, melihatnya membuat hati menjadi tenang, mereka sangat peduli."
Nggak ngeh sama analogi yang dia gunakan dalam presentasinya.,Saya tidak mengerti analogi yang dia gunakan dalam presentasinya.
"Dia coba jelasin pakai perbandingan, tapi gue nggak ngeh analoginya sama apa.","Dia mencoba menjelaskan menggunakan perbandingan, tetapi saya tidak mengerti analoginya dengan apa."
Bikin oleng badan kalau terlalu banyak minum kopi.,Terlalu banyak minum kopi membuat badan saya tidak enak.
"Biar nggak ngantuk, minum kopi terus, eh malah jadi deg-degan sama pusing.","Agar tidak mengantuk, minum kopi terus-menerus, eh malah jadi berdebar-debar dan pusing."
Nggak ada gunanya memang kalau cuma ngomongin perubahan iklim tanpa aksi nyata.,Memang tidak ada gunanya jika hanya membicarakan perubahan iklim tanpa adanya aksi nyata.
"Banyak kampanye soal lingkungan, tapi nggak banyak yang beneran bertindak, sama aja bohong.","Banyak kampanye mengenai lingkungan, tetapi tidak banyak yang benar-benar bertindak, sama saja bohong."
Bikin nyesek lihat hewan peliharaan yang sakit dan tidak terurus.,Melihat hewan peliharaan yang sakit dan tidak terurus membuat saya merasa sedih.
"Ada anjing kurus banget di pinggir jalan, kayaknya sakit, bikin nyesek lihatnya.","Ada seekor anjing sangat kurus di pinggir jalan, sepertinya sakit, melihat hewan peliharaan yang sakit dan tidak terurus membuat saya merasa sangat sedih."
Nggak gitu cara membuat laporan keuangan yang akurat.,Cara membuat laporan keuangan yang akurat bukan seperti itu.
"Laporannya banyak salah hitung, kayaknya ada format yang nggak diikuti dengan benar.","Laporannya banyak kesalahan perhitungan, sepertinya ada format yang tidak diikuti dengan benar."
Bikin auto semangat kalau dapat promosi jabatan.,Mendapatkan promosi jabatan otomatis membuat saya bersemangat.
"Akhirnya kerja keras selama ini membuahkan hasil, dapat promosi! Langsung semangat lagi.","Akhirnya kerja keras selama ini membuahkan hasil, mendapatkan promosi! Hal itu langsung membuat saya bersemangat lagi."
Nggak worth the waktu buat nonton film yang alurnya membingungkan.,Tidak sepadan dengan waktu yang dihabiskan untuk menonton film yang alurnya membingungkan.
"Udah nonton sampai akhir, tapi masih nggak ngerti ceritanya, buang-buang waktu aja.","Sudah menonton sampai akhir, tetapi masih tidak mengerti ceritanya, hanya membuang-buang waktu saja."
Bikin penasaran banget isi surat cinta dari masa lalu.,Isi surat cinta dari masa lalu itu membuat saya sangat penasaran.
"Nemuin surat cinta jaman SMA dulu, jadi pengen tahu isinya apa sekarang.","Menemukan surat cinta dari zaman Sekolah Menengah Atas dulu, jadi ingin tahu isinya apa sekarang."
Nggak nyangka se-sepi ini pantai di luar musim liburan.,Tidak menyangka pantai akan sesepi ini di luar musim liburan.
"Biasanya penuh turis, tapi sekarang kosong melompong, enak banget buat nyantai.","Biasanya penuh turis, tetapi sekarang kosong melompong, sangat enak untuk bersantai."
Bikin adem suasana hati kalau lihat orang saling memaafkan setelah bertengkar.,Melihat orang saling memaafkan setelah bertengkar membuat suasana hati menjadi tenang.
"Sempat ada masalah besar, tapi akhirnya mereka bisa baikan lagi, adem banget lihatnya.","Sempat ada masalah besar, tetapi akhirnya mereka bisa berbaikan lagi, hal itu sangat menenangkan untuk dilihat."
aqwhuwh lagi pengen belajar membuat website e-commerce nihhh,aku lagi ingin belajar membuat situs web niaga elektronik nih
kmw selalu bikin aqwhuwh kuat bangetttt,kamu selalu membuat aku kuat sekali
akuh alasan kamu untuk selalu tersenyum setiap saattttt,aku alasan kamu untuk selalu tersenyum setiap saat
diaaa tuhh penolong bangetttt dan selalu hadir di saat suka maupun duka,dia tuh penolong sekali dan selalu hadir di saat suka maupun duka
jangan lupaaa saling menghargai pendapat yang berbeda dengan kepala dingin yachhh,jangan lupa saling menghargai pendapat yang berbeda dengan kepala dingin ya
aqwhuwh lagi pengen belajar menggambar karakter animasi nihhh,aku lagi ingin belajar menggambar karakter animasi nih
kmw selalu bikin aqwhuwh berarti bangetttt,kamu selalu membuat aku berarti sekali
akuh tempat kamu mencurahkan segala isi hatimuuuuuu,aku tempat kamu mencurahkan segala isi hatimu
diaaa tuhh menghargai bangetttt setiap proses menuju keberhasilan,dia tuh menghargai sekali setiap proses menuju keberhasilan
jangan lupaaa saling menghargai waktu dan energi masing-masing yachhh,jangan lupa saling menghargai waktu dan energi masing-masing ya
aqwhuwh lagi pengen bikin animasi pendek yang lucu nihhh,aku lagi ingin membuat animasi pendek yang lucu nih
kmw selalu bikin aqwhuwh lengkap bangetttt,kamu selalu membuat aku lengkap sekali
akuh penawar segala kegelisahanmuuuuuuu,aku penawar segala kegelisahanmu
diaaa tuhh tulus bangetttt dan tidak pernah mengharapkan balasan apapun,dia tuh tulus sekali dan tidak pernah mengharapkan balasan apapun
jangan lupaaa saling menjaga hati dan perasaan agar tidak saling menyakiti yachhh,jangan lupa saling menjaga hati dan perasaan agar tidak saling menyakiti ya
aqwhuwh lagi pengen belajar membuat podcast yang menghibur nihhh,aku lagi ingin belajar membuat siniar (podcast) yang menghibur nih
kmw selalu bikin aqwhuwh istimewa bangetttt,kamu selalu membuat aku istimewa sekali
akuh tujuan hidup yang selalu kamu perjuangkanuuuuuu,aku tujuan hidup yang selalu kamu perjuangkan
diaaa tuhh adil bangetttt dalam memperlakukan semua orang tanpa melihat status sosial,dia tuh adil sekali dalam memperlakukan semua orang tanpa melihat status sosial
jangan lupaaa saling percaya dan saling terbuka dalam menghadapi setiap masalah yachhh,jangan lupa saling percaya dan saling terbuka dalam menghadapi setiap masalah ya
aqwhuwh lagi pengen bikin aplikasi edukasi sederhana nihhh,aku lagi ingin membuat aplikasi pendidikan sederhana nih
kmw selalu bikin aqwhuwh bersyukur bangetttt,kamu selalu membuat aku bersyukur sekali
akuh tempat berlindung ternyaman dari segala kekecewaanmuuuuuuu,aku tempat berlindung ternyaman dari segala kekecewaanmu
diaaa tuhh rendah hati bangetttt dan tidak pernah meremehkan orang lain,dia tuh rendah hati sekali dan tidak pernah meremehkan orang lain
jangan lupaaa saling mendukung satu sama lain dalam menggapai cita-cita yachhh,jangan lupa saling mendukung satu sama lain dalam menggapai cita-cita ya
aqwhuwh lagi pengen belajar membuat game edukasi sederhana nihhh,aku lagi ingin belajar membuat permainan pendidikan sederhana nih
kmw selalu bikin aqwhuwh semangat bangetttt,kamu selalu membuat aku semangat sekali
akuh jawaban dari setiap kebimbanganmuuuuuuu,aku jawaban dari setiap kebimbanganmu
diaaa tuhh pemaaf bangetttt dan selalu memberikan kesempatan untuk memperbaiki diri,dia tuh pemaaf sekali dan selalu memberikan kesempatan untuk memperbaiki diri
jangan lupaaa saling memberi semangat di kala putus asa yachhh,jangan lupa saling memberi semangat di kala putus asa ya
aqwhuwh lagi pengen belajar membuat robot interaktif nihhh,aku lagi ingin belajar membuat robot interaktif nih
kmw selalu bikin aqwhuwh kuat bangetttt,kamu selalu membuat aku kuat sekali
akuh pelengkap dalam setiap kekurangan dan kelemahanmuuuuuu,aku pelengkap dalam setiap kekurangan dan kelemahanmu
diaaa tuhh penolong bangetttt dan selalu sigap membantu tanpa pamrih,dia tuh penolong sekali dan selalu sigap membantu tanpa pamrih
jangan lupaaa saling menghargai privasi dan ruang pribadi masing-masing yachhh,jangan lupa saling menghargai privasi dan ruang pribadi masing-masing ya
aqwhuwh lagi pengen belajar bahasa asing yang bermanfaat nihhh,aku lagi ingin belajar bahasa asing yang bermanfaat nih
kmw selalu bikin aqwhuwh berarti bangetttt,kamu selalu membuat aku berarti sekali
akuh alasan kamu tersenyum di setiap hembusan napasmuuuuu,aku alasan kamu tersenyum di setiap hembusan napasmu
diaaa tuhh menghargai bangetttt setiap usaha dan pengorbanan yang telah dilakukan,dia tuh menghargai sekali setiap usaha dan pengorbanan yang telah dilakukan
jangan lupaaa saling menjaga kepercayaan dan kejujuran sebagai pondasi utama yachhh,jangan lupa saling menjaga kepercayaan dan kejujuran sebagai pondasi utama ya
aqwhuwh lagi pengen bikin film animasi yang menghibur nihhh,aku lagi ingin membuat film animasi yang menghibur nih
kmw selalu bikin aqwhuwh lengkap bangetttt,kamu selalu membuat aku lengkap sekali
"akuh sandaran ternyaman di setiap suka, duka, dan laramuuuuuu","aku sandaran ternyaman di setiap suka, duka, dan lara"
diaaa tuhh tulus bangetttt dan tidak pernah mengharapkan imbalan materi maupun non-materi,dia tuh tulus sekali dan tidak pernah mengharapkan imbalan materi maupun non-materi
jangan lupaaa saling menjaga komunikasi yang efektif dan efisien yachhh,jangan lupa saling menjaga komunikasi yang efektif dan efisien ya
aqwhuwh lagi pengen belajar editing video yang profesional dan kreatif banget nihhh,aku lagi ingin belajar menyunting video yang profesional dan kreatif sekali nih
kmw selalu bikin aqwhuwh istimewa bangetttt,kamu selalu membuat aku istimewa sekali
akuh rumah ternyaman untuk berbagi segala suka dan dukamuuuuuu,aku rumah ternyaman untuk berbagi segala suka dan duka
diaaa tuhh adil bangetttt dalam memberikan kesempatan yang sama kepada semua orang tanpa pandang bulu,dia tuh adil sekali dalam memberikan kesempatan yang sama kepada semua orang tanpa pandang bulu
jangan lupaaa saling mendukung impian dan cita-cita setinggi langit yachhh,jangan lupa saling mendukung impian dan cita-cita setinggi langit ya
aqwhuwh lagi pengen bikin lagu yang bikin semangat menjalani hari nihhh,aku lagi ingin membuat lagu yang membangkitkan semangat menjalani hari nih
kmw selalu bikin aqwhuwh bersyukur bangetttt,kamu selalu membuat aku bersyukur sekali
akuh pelita yang tak pernah redup dalam kegelapan hatimuuuuuu,aku pelita yang tak pernah redup dalam kegelapan hatimu
diaaa tuhh rendah hati bangetttt dan selalu mau belajar dari siapapun,dia tuh rendah hati sekali dan selalu mau belajar dari siapapun
jangan lupaaa saling mengerti kelebihan dan kekurangan untuk saling menyempurnakan yachhh,jangan lupa saling mengerti kelebihan dan kekurangan untuk saling menyempurnakan ya
